learner_key,first_name,last_name,program_key,start_term_key,campus,enrollment_intensity,learner_status,is_veteran
10001,Quinn,Davis,3,1,Provo,Full-Time,Graduated,No
10002,Jordan,Smith,5,2,Salt Lake City,Full-Time,Graduated,No
10003,Aisha,Rossi,3,9,St. George,Part-Time,Active,No
10004,Riley,Rossi,3,1,Online,Part-Time,Graduated,No
10005,Linda,Brown,1,6,Ogden,Part-Time,Active,No
10006,Sofia,Gonzalez,5,8,Salt Lake City,Part-Time,Active,No
10007,Priya,Williams,3,6,Salt Lake City,Full-Time,Graduated,No
10008,Linda,Rodriguez,6,4,Online,Part-Time,Withdrawn,No
10009,Diego,Okafor,2,5,Salt Lake City,Full-Time,Graduated,No
10010,Sofia,Okafor,1,8,St. George,Full-Time,Active,No
10011,Jordan,Ivanov,5,1,Ogden,Part-Time,Active,No
10012,Michael,Gonzalez,1,6,Online,Full-Time,Active,No
10013,Kenji,Kim,1,9,Online,Part-Time,Active,No
10014,Taylor,Haddad,6,3,Salt Lake City,Full-Time,Active,No
10015,Linda,Gonzalez,1,7,St. George,Part-Time,Graduated,No
10016,Morgan,Silva,6,1,St. George,Part-Time,Graduated,No
10017,Patricia,Smith,1,5,Ogden,Full-Time,Active,No
10018,Jennifer,Chen,1,5,Provo,Full-Time,Withdrawn,No
10019,William,Hernandez,1,9,Online,Full-Time,Withdrawn,No
10020,Quinn,Diallo,5,5,St. George,Full-Time,Active,No
10021,Casey,Silva,5,9,Online,Full-Time,Graduated,No
10022,Sofia,Patel,5,7,Provo,Part-Time,Leave of Absence,No
10023,Jennifer,Anderson,3,6,Salt Lake City,Full-Time,Active,No
10024,Quinn,Smith,1,9,Salt Lake City,Full-Time,Active,No
10025,Quinn,Rodriguez,5,6,Online,Full-Time,Active,No
10026,Michael,Ivanov,4,8,Online,Full-Time,Active,No
10027,Kenji,Johnson,2,7,Salt Lake City,Full-Time,Active,No
10028,Avery,Patel,1,2,Online,Full-Time,Active,No
10029,Taylor,Anderson,1,4,St. George,Full-Time,Withdrawn,Yes
10030,Michael,Thomas,6,4,Provo,Part-Time,Active,No
10031,Rowan,Ferrara,1,1,Online,Part-Time,Leave of Absence,No
10032,Michael,Jones,6,9,Provo,Part-Time,Graduated,No
10033,Maria,Johnson,1,9,Salt Lake City,Part-Time,Active,No
10034,Jennifer,Williams,5,3,Provo,Full-Time,Active,No
10035,Yuki,Kim,3,4,Provo,Full-Time,Active,No
10036,Rowan,Miller,2,9,Ogden,Full-Time,Active,No
10037,Sofia,Haddad,1,5,Salt Lake City,Full-Time,Active,No
10038,Avery,Nguyen,6,2,Ogden,Full-Time,Active,No
10039,Riley,Anderson,5,4,St. George,Part-Time,Active,No
10040,Nadia,Patel,6,9,Ogden,Full-Time,Active,No
10041,Kenji,Patel,1,2,Provo,Part-Time,Withdrawn,No
10042,Aisha,Choi,1,6,Ogden,Part-Time,Active,No
10043,Robert,Berg,5,1,Ogden,Full-Time,Active,Yes
10044,Patricia,Patel,3,5,Online,Full-Time,Active,Yes
10045,Casey,Wilson,2,6,Provo,Full-Time,Graduated,No
10046,Avery,Silva,5,1,Provo,Full-Time,Withdrawn,No
10047,Kenji,Jones,3,7,Provo,Full-Time,Leave of Absence,No
